fecha;altitud;hrMax;hrMedia;hrMin;indicativo;nombre;prec;provincia;tmax;tmed;tmin
12/10/2023;98;60;40;29;1387E;A CORUÑA AEROPUERTO;2,4;A CORUÑA;29,4;23,9;18,4
20/04/2017;98;63;46;30;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;21,9;16,2;10,4
13/02/2023;98;63;46;39;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;18,5;12,6;6,6
27/02/2018;98;65;53;40;1387E;A CORUÑA AEROPUERTO;0,1;A CORUÑA;9,4;6;2,6
26/03/2019;98;66;45;32;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;19,2;14,1;9
19/04/2017;98;67;38;27;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;20,9;16,1;11,3
17/05/2023;98;67;42;34;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;22,8;15,9;9
04/04/2022;98;67;56;48;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;11,9;8,6;5,3
27/03/2019;98;68;36;24;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;21,5;13,6;5,7
20/03/2021;98;68;52;42;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;12,9;9,8;6,7
18/01/2017;98;69;55;44;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;8,9;5,9;2,9
29/03/2017;98;70;54;44;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;20,6;16,8;12,9
21/01/2022;98;70;56;43;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;12,8;9,3;5,8
21/01/2020;98;70;68;60;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;9,7;8,4;7,2
01/03/2025;98;72;56;42;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;13,9;11;8
09/12/2016;98;72;59;47;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;18,8;14,2;9,5
28/03/2019;98;73;47;32;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;21,1;13,4;5,7
07/04/2021;98;73;51;38;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;18,9;12,7;6,5
20/01/2020;98;73;55;44;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;10,8;8,6;6,5
28/03/2023;98;74;25;21;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;22,6;16,4;10,3
22/04/2024;98;74;41;28;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;19,9;13,4;7
14/02/2023;98;74;42;34;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;20,3;15;9,7
15/02/2021;98;74;46;29;1387E;A CORUÑA AEROPUERTO;11,2;A CORUÑA;22,1;17,8;13,4
20/03/2025;98;74;52;33;1387E;A CORUÑA AEROPUERTO;4,4;A CORUÑA;19,6;15,3;11
21/11/2017;98;76;51;35;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;20,5;13,6;6,7
26/03/2026;98;76;63;50;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;14,9;11,4;8
30/10/2015;98;76;64;53;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;23,2;19,4;15,7
10/08/2016;98;76;66;58;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;21,7;18,6;15,6
22/12/2021;98;76;66;55;1387E;A CORUÑA AEROPUERTO;3,5;A CORUÑA;17,6;15,8;14
15/10/2017;98;77;38;24;1387E;A CORUÑA AEROPUERTO;0,1;A CORUÑA;32;25;17,9
16/12/2015;98;77;46;35;1387E;A CORUÑA AEROPUERTO;;A CORUÑA;19,7;17,6;15,5
19/03/2025;98;77;47;37;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;19,6;15;10,3
11/08/2016;98;77;49;35;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;28,5;21,4;14,3
26/05/2020;98;77;51;32;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;27,5;20,9;14,3
18/05/2023;98;77;53;37;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;21;15,7;10,4
02/09/2019;98;77;54;36;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;26,5;21,2;16
31/12/2021;98;77;55;42;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;21,4;17,4;13,4
01/11/2017;98;77;61;47;1387E;A CORUÑA AEROPUERTO;0,9;A CORUÑA;19,7;15,6;11,4
04/10/2021;98;77;61;42;1387E;A CORUÑA AEROPUERTO;2,1;A CORUÑA;19,9;16,6;13,3
17/08/2021;98;77;65;54;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;22,6;19,6;16,7
02/01/2025;98;77;71;62;1387E;A CORUÑA AEROPUERTO;1,4;A CORUÑA;14,6;12;9,5
17/03/2022;98;78;53;33;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;15,5;11,6;7,6
16/05/2023;98;78;53;44;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;20,3;15,8;11,3
01/06/2024;98;78;55;38;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;23,6;18,1;12,6
16/05/2020;98;78;56;39;1387E;A CORUÑA AEROPUERTO;0;A CORUÑA;21;15,4;9,8
18/12/2022;98;78;66;64;1387E;A CORUÑA AEROPUERTO;3,1;A CORUÑA;17,5;15,2;12,9
